#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0    1173.65    10766.774
895680000.0    1173.34    11376.513
718554000.0    1172.72    12701.526
576455000.0    1172.25    14180.872
462457000.0    1171.89    15832.516
371003000.0    1171.62    17676.525
297635000.0    1171.42    19735.295
238776000.0    1171.27    22033.844
191556000.0    1171.16    24600.148
153675000.0    1171.08    27465.28
123285000.0    1171.02    30664.121
98904300.0    1170.98    34235.605
79345400.0    1170.93    38222.992
63654300.0    1170.87    42674.82
51066300.0    1170.76    47645.12
40967600.0    1170.5    53194.33
32866000.0    1169.96    59389.84
26366500.0    1168.9    66307.0
21152400.0    1167.05    74029.67
16969300.0    1164.06    82652.055
13613500.0    1159.57    92278.53
10921400.0    1153.22    103025.91
8761610.0    1144.59    115025.37
7028940.0    1133.35    128422.37
5638920.0    1119.27    143379.69
4523790.0    1102.38    160079.02
3629180.0    1082.72    178723.38
2911490.0    1060.17    199539.06
2335720.0    1034.92    222779.48
1873820.0    1007.38    248726.3
1503260.0    978.249    277695.3
1205980.0    948.495    310038.44
967489.0    918.047    346148.6
776162.0    886.07    386464.34
622671.0    853.11    431475.66
499533.0    819.896    481729.84
400747.0    786.936    537836.75
321497.0    756.665    600478.06
257919.0    730.57    670415.3
206914.0    707.595    748498.0
165995.0    687.184    835676.3
133169.0    668.355    933005.1
106834.0    649.99    1041671.75
85706.6    630.343    1162996.8
68757.6    607.581    1298450.0
55160.3    583.539    1449680.5
44252.0    561.586    1618524.0
35500.9    542.898    1807032.4
28480.4    526.273    2017495.4
22848.2    512.051    2252473.0
18329.8    500.03    2514819.0
14705.0    489.333    2807715.5
11797.0    480.135    3134727.2
9464.04    472.432    3499833.0
7592.46    464.863    3907458.2
6091.01    457.081    4362555.5
4886.47    449.389    4870661.5
3920.14    441.691    5437945.0
3144.91    434.08    6071297.5
2522.98    427.152    6778423.0
2024.04    421.342    7567911.5
1623.78    416.076    8449325.0
1302.66    411.673    9433439.0
1045.05    408.695    10532150.0
838.388    406.137    11758802.0
672.591    403.655    13128349.0
539.582    401.912    14657397.0
432.876    401.091    16364542.0
347.272    401.186    18270512.0
278.597    402.983    20398460.0
223.502    406.938    22774292.0
179.303    411.781    25426806.0
143.845    418.051    28388226.0
115.399    426.45    31694552.0
92.5779    435.31    35386036.0
74.27    442.67    39507440.0
59.5826    450.127    44108864.0
47.7998    457.534    49246184.0
38.3471    464.464    54981850.0
30.7637    471.203    61385570.0
24.68    477.845    68535096.0
19.7993    483.838    76517480.0
15.8839    488.875    85429336.0
12.7427    493.319    95379470.0
10.2228    496.976    106487990.0
8.20117    499.38    118890640.0
6.57933    500.878    132737840.0
5.27823    501.676    148197700.0
4.23442    501.872    165458320.0
3.39704    501.563    184729090.0
2.72525    500.845    206244530.0
2.18632    499.724    230265440.0
1.75396    498.186    257084420.0
1.4071    496.28    287027260.0
1.12884    494.058    320456770.0
0.905603    491.58    357780500.0
0.726514    488.972    399451100.0
0.582841    486.409    445975040.0
0.467581    484.035    497917280.0
0.375113    481.812    555910100.0
0.300932    479.4    620656700.0
0.241421    476.148    692943940.0
0.193678    471.236    773651700.0
0.155377    463.715    863758340.0
0.12465    452.069    964360600.0
0.1    429.942    1076677400.0
