#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0 984.209 115018.47
895680000.0 983.978 121532.13
718554000.0 983.516 135686.89
576455000.0 983.188 151490.34
462457000.0 982.959 169134.38
371003000.0 982.796 188833.44
297635000.0 982.679 210826.69
238776000.0 982.586 235381.45
191556000.0 982.493 262796.6
153675000.0 982.356 293403.97
123285000.0 982.124 327576.3
98904300.0 981.751 365729.5
79345400.0 981.164 408325.7
63654300.0 980.226 455883.3
51066300.0 978.808 508979.66
40967600.0 976.732 568260.3
32866000.0 973.736 634445.25
26366500.0 969.577 708339.3
21152400.0 964.082 790838.5
16969300.0 957.003 882949.06
13613500.0 948.056 985786.06
10921400.0 937.051 1100597.2
8761610.0 923.597 1228784.1
7028940.0 906.656 1371900.6
5638920.0 885.627 1531685.5
4523790.0 860.496 1710079.9
3629180.0 831.978 1909252.4
2911490.0 800.874 2131620.8
2335720.0 769.953 2379891.8
1873820.0 742.258 2657074.0
1503260.0 717.751 2966542.0
1205980.0 696.611 3312054.8
967489.0 678.756 3697809.8
776162.0 662.666 4128491.2
622671.0 646.454 4609335.0
499533.0 628.224 5146186.0
400747.0 607.184 5745561.0
321497.0 583.559 6414741.0
257919.0 560.151 7161861.0
206914.0 540.113 7995997.0
165995.0 522.409 8927299.0
133169.0 507.079 9967036.0
106834.0 494.812 11127891.0
85706.6 484.857 12423972.0
68757.6 475.546 13870982.0
55160.3 466.679 15486536.0
44252.0 458.19 17290244.0
35500.9 449.781 19304026.0
28480.4 441.298 21552346.0
22848.2 433.457 24062546.0
18329.8 426.403 26865114.0
14705.0 419.808 29994048.0
11797.0 414.298 33487426.0
9464.04 410.131 37387750.0
7592.46 406.016 41742296.0
6091.01 402.124 46603972.0
4886.47 398.832 52031930.0
3920.14 396.032 58092064.0
3144.91 393.949 64857988.0
2522.98 393.35 72412024.0
2024.04 394.286 80845900.0
1623.78 395.809 90261810.0
1302.66 399.098 100774820.0
1045.05 404.671 112512050.0
838.388 409.93 125616020.0
672.591 415.135 140246510.0
539.582 421.426 156580910.0
432.876 428.592 174817870.0
347.272 436.165 195178830.0
278.597 444.526 217911120.0
223.502 452.96 243291470.0
179.303 459.938 271627550.0
143.845 466.174 303263550.0
115.399 471.927 338584130.0
92.5779 476.604 378019230.0
74.27 479.919 422047040.0
59.5826 482.538 471202780.0
47.7998 484.513 526083400.0
38.3471 485.78 587355900.0
30.7637 486.437 655765100.0
24.68 486.541 732141440.0
19.7993 486.087 817415200.0
15.8839 485.145 912618000.0
12.7427 483.877 1018912500.0
10.2228 482.416 1137581800.0
8.20117 480.882 1270075900.0
6.57933 479.423 1418001700.0
5.27823 478.089 1583155100.0
4.23442 476.811 1767545500.0
3.39704 475.426 1973409800.0
2.72525 473.76 2203253200.0
2.18632 471.667 2459862000.0
1.75396 469.063 2746361900.0
1.4071 465.94 3066232800.0
1.12884 462.343 3423351000.0
0.905603 458.303 3822070000.0
0.726514 453.869 4267225900.0
0.582841 449.084 4764228000.0
0.467581 443.968 5319112000.0
0.375113 438.889 5938633000.0
0.300932 433.999 6630304000.0
0.241421 429.444 7402528000.0
0.193678 425.311 8264707000.0
0.155377 421.655 9227292000.0
0.12465 418.485 10301997000.0
0.1 415.865 11501848000.0
