#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0    976.634    88513.3
895680000.0    976.436    93525.94
718554000.0    976.04    104418.83
576455000.0    975.76    116580.484
462457000.0    975.557    130158.58
371003000.0    975.391    145318.12
297635000.0    975.21    162243.19
238776000.0    974.965    181139.5
191556000.0    974.604    202237.02
153675000.0    974.056    225791.14
123285000.0    973.265    252088.72
98904300.0    972.194    281449.78
79345400.0    970.7    314230.0
63654300.0    968.469    350828.3
51066300.0    965.234    391688.97
40967600.0    960.742    437308.8
32866000.0    954.727    488241.94
26366500.0    947.284    545107.6
21152400.0    938.722    608595.44
16969300.0    928.531    679479.8
13613500.0    915.405    758618.75
10921400.0    898.755    846972.56
8761610.0    878.938    945619.75
7028940.0    854.978    1055756.0
5638920.0    827.391    1178719.8
4523790.0    797.709    1316004.4
3629180.0    767.746    1469279.0
2911490.0    739.369    1640404.1
2335720.0    714.17    1831462.9
1873820.0    693.008    2044770.5
1503260.0    674.723    2282924.0
1205980.0    658.345    2548815.8
967489.0    642.502    2845676.2
776162.0    625.141    3177110.5
622671.0    605.133    3547147.0
499533.0    582.977    3960284.8
400747.0    559.838    4421538.0
321497.0    536.794    4936510.0
257919.0    515.397    5511462.0
206914.0    497.612    6153377.5
165995.0    482.917    6870067.5
133169.0    470.643    7670204.5
106834.0    460.732    8563549.0
85706.6    452.44    9560958.0
68757.6    444.281    10674515.0
55160.3    436.261    11917775.0
44252.0    428.719    13305832.0
35500.9    421.519    14855554.0
28480.4    414.832    16585764.0
22848.2    409.108    18517506.0
18329.8    404.08    20674244.0
14705.0    399.381    23082136.0
11797.0    395.599    25770490.0
9464.04    392.942    28772012.0
7592.46    390.153    32123086.0
6091.01    387.792    35864424.0
4886.47    386.264    40041548.0
3920.14    385.354    44705170.0
3144.91    385.364    49911932.0
2522.98    387.121    55725190.0
2024.04    390.393    62215548.0
1623.78    394.028    69461624.0
1302.66    399.463    77551990.0
1045.05    407.086    86584456.0
838.388    414.096    96668720.0
672.591    420.836    107927720.0
539.582    428.089    120497980.0
432.876    435.375    134532350.0
347.272    442.227    150201280.0
278.597    449.035    167695070.0
223.502    455.128    187226720.0
179.303    459.841    209032940.0
143.845    463.633    233378660.0
115.399    466.689    260559860.0
92.5779    468.722    290907420.0
74.27    469.697    324789340.0
59.5826    470.147    362617500.0
47.7998    470.242    404851260.0
38.3471    470.108    452003940.0
30.7637    469.93    504648740.0
24.68    469.753    563424800.0
19.7993    469.453    629047740.0
15.8839    468.857    702311800.0
12.7427    467.85    784111500.0
10.2228    466.349    875434240.0
8.20117    464.284    977396030.0
6.57933    461.711    1091233500.0
5.27823    458.71    1218328300.0
4.23442    455.336    1360227300.0
3.39704    451.65    1518651600.0
2.72525    447.641    1695529300.0
2.18632    443.464    1893004700.0
1.75396    439.355    2113482500.0
1.4071    435.438    2359641600.0
1.12884    431.817    2634464500.0
0.905603    428.544    2941301800.0
0.726514    425.641    3283874600.0
0.582841    423.129    3666346200.0
0.467581    420.988    4093361700.0
0.375113    419.188    4570118000.0
0.300932    417.691    5102398000.0
0.241421    416.457    5696669000.0
0.193678    415.447    6360165000.0
0.155377    414.624    7100928500.0
0.12465    413.95    7927977000.0
0.1    413.425    8851330000.0
