#(dyne/cm2) (K)      (cm2/s)
Pressure    Temp     Kzz
1000000000.0    1236.17    6917.5454
895680000.0    1235.92    7309.296
718554000.0    1235.42    8160.6035
576455000.0    1235.02    9111.069
462457000.0    1234.71    10172.233
371003000.0    1234.47    11356.991
297635000.0    1234.28    12679.7295
238776000.0    1234.14    14156.525
191556000.0    1234.03    15805.35
153675000.0    1233.95    17646.168
123285000.0    1233.89    19701.39
98904300.0    1233.85    21996.035
79345400.0    1233.81    24557.893
63654300.0    1233.75    27418.148
51066300.0    1233.65    30611.514
40967600.0    1233.41    34176.83
32866000.0    1232.91    38157.38
26366500.0    1231.91    42601.582
21152400.0    1230.16    47563.324
16969300.0    1227.31    53103.12
13613500.0    1223.03    59288.04
10921400.0    1216.98    66193.12
8761610.0    1208.84    73902.65
7028940.0    1198.29    82510.09
5638920.0    1185.01    92120.02
4523790.0    1168.79    102849.17
3629180.0    1149.6    114827.99
2911490.0    1127.68    128201.86
2335720.0    1103.52    143133.61
1873820.0    1077.31    159804.16
1503260.0    1048.88    178416.47
1205980.0    1018.61    199196.6
967489.0    987.181    222397.02
776162.0    955.357    248299.47
622671.0    923.156    277218.8
499533.0    889.59    309506.6
400747.0    855.324    345554.75
321497.0    821.083    385801.16
257919.0    787.41    430735.12
206914.0    757.133    480902.5
165995.0    731.26    536913.75
133169.0    708.449    599446.5
106834.0    688.52    669263.7
85706.6    670.506    747213.8
68757.6    652.368    834241.1
55160.3    631.906    931405.25
44252.0    608.411    1039885.5
35500.9    583.584    1161000.2
28480.4    560.632    1296220.6
22848.2    541.944    1447191.4
18329.8    526.008    1615746.1
14705.0    511.788    1803929.2
11797.0    499.79    2014031.1
9464.04    490.193    2248607.8
7592.46    481.439    2510503.0
6091.01    472.97    2802898.5
4886.47    464.783    3129351.5
3920.14    456.687    3493825.2
3144.91    448.476    3900748.2
2522.98    440.409    4355069.5
2024.04    433.162    4862308.0
1623.78    426.318    5428607.0
1302.66    420.2    6060890.5
1045.05    415.542    6766801.5
838.388    411.546    7554913.0
672.591    407.565    8434833.0
539.582    404.062    9417232.0
432.876    401.206    10514055.0
347.272    398.849    11738622.0
278.597    397.629    13105807.0
223.502    398.282    14632256.0
179.303    399.889    16336469.0
143.845    402.771    18239152.0
115.399    407.949    20363432.0
92.5779    414.381    22735176.0
74.27    420.065    25383136.0
59.5826    426.541    28339506.0
47.7998    433.881    31640184.0
38.3471    441.335    35325290.0
30.7637    449.192    39439616.0
24.68    457.32    44033110.0
19.7993    465.0    49161720.0
15.8839    471.662    54887500.0
12.7427    477.939    61280360.0
10.2228    483.577    68417470.0
8.20117    487.702    76386056.0
6.57933    490.813    85282744.0
5.27823    493.149    95215544.0
4.23442    494.725    106305320.0
3.39704    495.625    118686600.0
2.72525    496.0    132510056.0
2.18632    495.872    147943250.0
1.75396    495.191    165174180.0
1.4071    494.028    184412140.0
1.12884    492.437    205890270.0
0.905603    490.443    229870400.0
0.726514    488.158    256643360.0
0.582841    485.777    286534530.0
0.467581    483.492    319906880.0
0.375113    481.413    357166660.0
0.300932    479.377    398765730.0
0.241421    476.785    445209540.0
0.193678    472.648    497063500.0
0.155377    465.749    554956160.0
0.12465    454.447    619592000.0
0.1    431.01    691754500.0
